FileName	cy3_food	cy3_virus	cy3_time	Cy3	cy5_food	cy5_virus	cy5_time	Cy5
US84700254_256408310004_S01_GE2_1100_Jul11_2_2.txt.gz	high	control	6d	HFC 6D	high	control	2	HFC 2
US84700254_256408310004_S01_GE2_1100_Jul11_2_3.txt.gz	high	control	3d	HFC 3D	high	control	4d	HFC 4D
US84700254_256408310004_S01_GE2_1100_Jul11_2_4.txt.gz	high	control	3d	HFC 5D	high	control	6d	HFC 6D
US84700254_256408310005_S01_GE2_1200_Jun14_1_1.txt.gz	high	control	1d	HFC 1D	high	virus	4d	HFV 4D
US84700254_256408310005_S01_GE2_1200_Jun14_1_2.txt.gz	high	virus	16	HFV 16	high	control	2d	HFC 2D
US84700254_256408310005_S01_GE2_1200_Jun14_1_3.txt.gz	low	virus	2d	LFV 2D	high	virus	3d	HFV 3D
US84700254_256408310005_S01_GE2_1200_Jun14_1_4.txt.gz	low	control	4d	LFC 4D	high	control 	4	HFC 4
US84700254_256408310005_S01_GE2_1200_Jun14_2_1.txt.gz	high	control	16	HFC 16	high	virus	1d	HFV 1D
US84700254_256408310005_S01_GE2_1200_Jun14_2_2.txt.gz	high	control	4d	HFC 4D	low	virus	3d	LFV 3D
US84700254_256408310005_S01_GE2_1200_Jun14_2_3.txt.gz	low	control	8	LFC 8	low	control	6d	LFC 6D
US84700254_256408310005_S01_GE2_1200_Jun14_2_4.txt.gz	high	control	1	HFC 1	high	virus	0.5	HFV 0.5
US84700254_256408310006_S01_GE2_1200_Jun14_1_1.txt.gz	high	control	16	HFC 16	high	virus	4d	HFV 4D
US84700254_256408310006_S01_GE2_1200_Jun14_1_2.txt.gz	low	control	6d	LFC 6D	low	virus	5d	LFV 5D
US84700254_256408310006_S01_GE2_1200_Jun14_1_3.txt.gz	low	virus	8	LFV 8	low	virus	3d	LFV 3D
US84700254_256408310006_S01_GE2_1200_Jun14_1_4.txt.gz	high	control	1d	HFC 1D	high	control	2	HFC 2 
US84700254_256408310006_S01_GE2_1200_Jun14_2_1.txt.gz	high	control	2d	HFC 2D	low	virus	7d	LFV 7D
US84700254_256408310006_S01_GE2_1200_Jun14_2_2.txt.gz	low	virus	2d	LFV 2D	low	virus	2	LFV 2
US84700254_256408310006_S01_GE2_1200_Jun14_2_3.txt.gz	high	control	1d	HFC 1D	low	control	3d	LFC 3D
US84700254_256408310006_S01_GE2_1200_Jun14_2_4.txt.gz	high	virus	4d	HFV 4D	low	control	4	LFC 4
